2021-02-04 18:39:44.709 INFO  [DISCORD] Bot connected 
2021-02-04 18:39:45.673 INFO  [BOT] 0: null 
2021-02-04 18:39:46.143 INFO  [BOT] 0: null 
2021-02-04 18:39:46.143 INFO  [BOT] 0: READY 
2021-02-04 18:39:46.559 INFO  [BOT] 0: GUILD_CREATE 
2021-02-04 18:39:46.565 INFO  [DISCORD] 'ready' event is triggered 
2021-02-04 18:39:50.918 INFO  [BOT] 0: TYPING_START 
2021-02-04 18:39:51.028 INFO  [BOT] 0: VOICE_STATE_UPDATE 
2021-02-04 18:39:51.329 INFO  [BOT] 0: MESSAGE_CREATE 
2021-02-04 18:39:53.308 INFO  [BOT] 0: VOICE_STATE_UPDATE 
2021-02-04 18:40:19.421 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:40:25.560 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:40:27.072 INFO  [BOT] 0: null 
2021-02-04 18:40:34.188 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:40:59.300 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:41:06.435 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:41:08.340 INFO  [BOT] 0: null 
2021-02-04 18:41:08.668 INFO  [BOT] 0: MESSAGE_CREATE 
2021-02-04 18:41:12.207 INFO  [BOT] 0: MESSAGE_DELETE 
2021-02-04 18:41:20.423 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:41:22.568 INFO  [BOT] 0: VOICE_STATE_UPDATE 
2021-02-04 18:41:26.054 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:41:26.544 INFO  [BOT] 0: VOICE_STATE_UPDATE 
2021-02-04 18:41:30.841 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:41:32.338 INFO  [BOT] 0: GUILD_MEMBER_UPDATE 
2021-02-04 18:41:46.358 INFO  [BOT] 0: VOICE_STATE_UPDATE 
2021-02-04 18:41:49.599 INFO  [BOT] 0: null 
2021-02-04 18:41:57.517 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:41:57.801 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:42:07.423 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:42:07.623 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:42:10.343 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:42:11.346 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:42:13.346 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:42:19.354 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:42:20.114 INFO  [BOT] 0: CHANNEL_UPDATE 
2021-02-04 18:42:20.456 INFO  [BOT] DiscordRESTError [50001]: Missing Access 
2021-02-04 18:42:27.600 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:42:30.909 INFO  [BOT] 0: null 
2021-02-04 18:42:38.138 INFO  [BOT] 0: TYPING_START 
2021-02-04 18:42:38.174 INFO  [BOT] 0: MESSAGE_CREATE 
2021-02-04 18:42:43.943 INFO  [BOT] 0: TYPING_START 
2021-02-04 18:42:44.812 INFO  [BOT] 0: GUILD_ROLE_UPDATE 
2021-02-04 18:42:44.812 INFO  [BOT] 0: MESSAGE_CREATE 
2021-02-04 18:42:48.896 INFO  [BOT] 0: MESSAGE_CREATE 
2021-02-04 18:42:50.521 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:42:51.990 INFO  [BOT] 0: MESSAGE_CREATE 
2021-02-04 18:42:52.387 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:42:56.314 INFO  [BOT] 0: TYPING_START 
2021-02-04 18:42:56.695 INFO  [BOT] 0: MESSAGE_CREATE 
2021-02-04 18:42:56.869 INFO  [BOT] 0: MESSAGE_CREATE 
2021-02-04 18:42:57.027 INFO  [BOT] 0: MESSAGE_CREATE 
2021-02-04 18:42:57.974 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-02-04 18:43:02.535 INFO  [BOT] 0: TYPING_START 
2021-02-04 18:43:02.662 INFO  [BOT] 0: VOICE_STATE_UPDATE 
2021-02-04 18:43:03.101 INFO  [BOT] 0: VOICE_STATE_UPDATE 
2021-02-04 18:43:04.235 INFO  [BOT] 0: MESSAGE_CREATE 
